"admin0_name","admin1_name","admin2_name","iso3","gaul0_code","gaul1_code","gaul2_code","tv","internet","cellphone"
"Algeria","Adrar",\N,"DZA",101,1001,\N,96.91329193115234,23.75639533996582,91.4104232788086
"Algeria","Ain-Defla",\N,"DZA",101,1002,\N,99.88481903076172,29.861003875732422,93.43108367919922
"Algeria","Ain-Temouchent",\N,"DZA",101,1003,\N,99,21.799999237060547,89.10000610351562
"Algeria","Alger",\N,"DZA",101,1004,\N,99.90000915527344,30.000001907348633,93.50000762939453
"Algeria","Annaba",\N,"DZA",101,1005,\N,99.0999984741211,23.700000762939453,97.30000305175781
"Algeria","Batna",\N,"DZA",101,1006,\N,98.94963836669922,22.40818977355957,95.25005340576172
"Algeria","Bechar",\N,"DZA",101,1007,\N,97.11073303222656,23.871021270751953,91.39472961425781
"Algeria","Bejaia",\N,"DZA",101,1008,\N,99.02729797363281,22.6318359375,95.25163269042969
"Algeria","Biskra",\N,"DZA",101,1009,\N,97.14353942871094,23.68828582763672,91.58836364746094
"Algeria","Blida",\N,"DZA",101,1010,\N,99.9000015258789,30.000001907348633,93.50000762939453
"Algeria","Bordj Bou Arrer",\N,"DZA",101,1011,\N,98.94268798828125,22.329771041870117,95.3680419921875
"Algeria","Bouira",\N,"DZA",101,1012,\N,99.87110137939453,29.81829071044922,93.55078125
"Algeria","Boumerdes",\N,"DZA",101,1013,\N,99.9000015258789,30,93.5
"Algeria","Chlef",\N,"DZA",101,1014,\N,99.88858032226562,29.895708084106445,93.44650268554688
"Algeria","Constantine",\N,"DZA",101,1015,\N,99.09813690185547,23.67583656311035,97.26282501220703
"Algeria","Djelfa",\N,"DZA",101,1016,\N,97.5245590209961,19.6003360748291,97.07400512695312
"Algeria","El Bayadh",\N,"DZA",101,1017,\N,98.58521270751953,18.147947311401367,87.66776275634766
"Algeria","El Oued",\N,"DZA",101,1018,\N,97.1220932006836,23.907503128051758,91.46797180175781
"Algeria","El-Tarf",\N,"DZA",101,1019,\N,99.11331939697266,23.853120803833008,97.28668975830078
"Algeria","Ghardaia",\N,"DZA",101,1020,\N,97.10557556152344,23.76568031311035,91.41802978515625
