Section EN,Section FR,Question EN,Question FR,Answer EN,Answer FR
"Data access, sources & updates","Accès aux données, sources & mises à jour",How can I download the spatial and tabular datasets used by the Atlas (and which formats are available? ,Comment puis-je télécharger les jeux de données spatiaux et tabulaires utilisés par l’Atlas (et quels formats sont disponibles) ?,"You can download all Atlas datasets through the Atlas STAC data catalog, which provides direct access to raster and vector files, typically in GeoTIFF, GeoJSON/JSON, and related standard GIS formats. Many Observable notebooks also include downloadable tabular files used in charts or maps. These options allow you to extract individual layers or bulk data depending on your analysis needs. ","Vous pouvez télécharger tous les jeux de données de l’Atlas via le catalogue de données Atlas STAC, qui donne un accès direct aux fichiers raster et vecteur, généralement en GeoTIFF, GeoJSON/JSON et autres formats SIG standards. De nombreux notebooks Observable incluent également des fichiers tabulaires téléchargeables utilisés dans les graphiques ou les cartes. Ces options vous permettent d’extraire des couches individuelles ou des données en lot selon vos besoins d’analyse."
"Data access, sources & updates","Accès aux données, sources & mises à jour","Where does the Atlas publish metadata and method notes for each dataset (sources, year, and processing steps)? ","Où l’Atlas publie-t-il les métadonnées et notes méthodologiques pour chaque jeu de données (sources, année, étapes de traitement) ?","Metadata, sources, years, and processing steps are documented in the Methods & Sources sections of each Observable notebook. Additional details, including code used for data processing, are linked through the Atlas GitHub repositories. ","Les métadonnées, sources, années et étapes de traitement sont documentées dans les sections Methods & Sources de chaque notebook Observable. Des informations supplémentaires, y compris le code utilisé pour le traitement des données, sont accessibles via les dépôts GitHub de l’Atlas."
"Data access, sources & updates","Accès aux données, sources & mises à jour","How frequently is Atlas data updated, and how can I check the date/version of a specific layer? ","À quelle fréquence les données de l’Atlas sont-elles mises à jour, et comment puis-je vérifier la date/version d’une couche spécifique ?","The Atlas does not follow a fixed update schedule, but new or revised datasets are added to the STAC catalog on a regular basis, and largely in response to user feedback. You can check when a notebook was last edited at the very top of the Observable site. We aim to regularly post recent updates and fixes on the website’s News & Updates page (available soon). ","L’Atlas ne suit pas un calendrier de mise à jour fixe, mais de nouveaux jeux de données ou des versions révisées sont régulièrement ajoutés au catalogue STAC, souvent en réponse aux retours des utilisateurs. Vous pouvez vérifier la dernière date d’édition d’un notebook en haut du site Observable. Nous visons à publier régulièrement les mises à jour et correctifs récents sur la page News & Updates du site (bientôt disponible)."
"Data access, sources & updates","Accès aux données, sources & mises à jour","If my country has higher-resolution national data, what is the recommended way to combine or replace Atlas layers for local analyses?  ","Si mon pays dispose de données nationales à plus haute résolution, quelle est la méthode recommandée pour combiner ou remplacer les couches de l’Atlas dans des analyses locales ?","You can download the relevant Atlas layer, reproject or resample it to match your national data, and then overlay or substitute layers within your GIS workflow. Our recommended approach would be to use national data wherever it is available and consistent and use Atlas layers to fill geographic or thematic gaps in your analysis. ","Vous pouvez télécharger la couche correspondante de l’Atlas, la reprojeter ou la rééchantillonner pour l’adapter à vos données nationales, puis superposer ou remplacer les couches dans votre flux de travail SIG. Notre approche recommandée consiste à utiliser les données nationales lorsqu’elles sont disponibles et cohérentes, et à utiliser les couches de l’Atlas pour combler les lacunes géographiques ou thématiques dans votre analyse."
"Data access, sources & updates","Accès aux données, sources & mises à jour","Does the Atlas provide standard climate-extremes indices (e.g., CDD, Rx5day, TN90p) or guidance on which indices are used for hazard layers? ","L’Atlas fournit-il des indices standard d’extrêmes climatiques (p. ex. CDD, Rx5day, TN90p) ou des orientations sur les indices utilisés pour les couches d’aléas ?","The Atlas does not publish a full standalone set of climate-extreme indices, but hazard layers in the some notebooks, e.g. Evaluate Climate Risks, are built from climate-model outputs and use specific derived metrics. Each notebook’s Methods & Sources section explains which indices or variables were applied, how they were computed, and the periods and scenarios used. ","L’Atlas ne publie pas un ensemble complet d’indices d’extrêmes climatiques autonomes, mais certaines couches d’aléas dans des notebooks tels que Evaluate Climate Risks sont dérivées de sorties de modèles climatiques et utilisent des métriques spécifiques. La section Methods & Sources de chaque notebook explique quels indices ou variables ont été utilisés, comment ils ont été calculés, ainsi que les périodes et scénarios appliqués."
"Data access, sources & updates","Accès aux données, sources & mises à jour","What are the sources, covered time periods, and units of the Value of Production (VoP) data used in Atlas notebooks? ","Quelles sont les sources, périodes couvertes et unités des données de Valeur de Production(VoP) utilisées dans les notebooks de l’Atlas ?","VoP data come from national agricultural production statistics (crop and livestock) and are harmonized and mapped by the Atlas team. The units are typically in value per hectare, expressed in USD or international dollars. The time period and input sources vary by layer and are specified in the corresponding notebook metadata, which details baseline years, valuation methods, and any adjustments or aggregations used. ","Les données VoP proviennent des statistiques nationales de production agricole (cultures et élevage) et sont harmonisées et cartographiées par l’équipe de l’Atlas. Les unités sont généralement exprimées en valeur par hectare, en USD ou en dollars internationaux. La période temporelle et les sources d’entrée varient selon les couches et sont précisées dans les métadonnées du notebook correspondant, qui détaillent les années de référence, les méthodes de valorisation et les ajustements ou agrégations appliquées."
"Notebooks, codes & customization","Notebooks, codes & personnalisation","How can I duplicate or fork the Atlas notebooks and Observable tools to add custom layers, country data, or alternative boundaries? ","Comment puis-je dupliquer ou fork les notebooks de l’Atlas et les outils Observable pour ajouter des couches personnalisées, des données nationales ou d’autres limites administratives ?","You can duplicate any Atlas notebook directly within Observable using the Fork option at the top of each notebook, which creates your own editable copy. Once forked, you can upload custom datasets, swap boundary files, or connect new data sources through Observable’s file attachments or external data loaders. This allows you to tailor the visualizations, maps, and analyses to your needs and projects. ","Vous pouvez dupliquer n’importe quel notebook de l’Atlas directement dans Observable via l’option Fork en haut du notebook, ce qui crée votre propre copie modifiable. Une fois forké, vous pouvez téléverser vos jeux de données, remplacer les fichiers de limites, ou connecter de nouvelles sources de données via les pièces jointes ou les chargeurs externes d’Observable. Cela vous permet d’adapter les visualisations, cartes et analyses à vos besoins."
"Notebooks, codes & customization","Notebooks, codes & personnalisation",Which notebooks include downloadable attachments or raw data exports directly from the Observable interface? ,Quels notebooks incluent des pièces jointes téléchargeables ou des exports de données brutes directement depuis l’interface Observable ?,"Most Atlas notebooks that produce charts or maps include downloadable attachments, which appear in the notebook sidebar or near relevant code cells. These attachments often contain the tabular data used in visualizations or simplified extracts of larger datasets. Any notebook that uses FileAttachment or provides export buttons will allow direct downloads without needing to access the STAC catalog. ","La plupart des notebooks de l’Atlas qui génèrent des graphiques ou des cartes incluent des pièces jointes téléchargeables, accessibles dans la barre latérale du notebook ou près des cellules de code concernées. Ces pièces jointes contiennent souvent les données tabulaires utilisées dans les visualisations ou des extraits simplifiés de jeux de données plus volumineux. Tout notebook utilisant FileAttachment ou des boutons d’export permet des téléchargements directs sans passer par le catalogue STAC."
"Notebooks, codes & customization","Notebooks, codes & personnalisation",Where can I find the Github/Methods links or documentation for the Observable notebooks and reproducible code? ,Où puis-je trouver les liens Github/Methods ou la documentation pour les notebooks Observable et le code reproductible ?,"Each Atlas notebook includes a Methods & Sources section that links to the corresponding GitHub repositories containing data-processing scripts, model code, and reproducible workflows. You can also look up Data Sources in the Appendix. These links are typically located at the bottom of the notebook or within code cells that reference external data processing. Methods and other information can also be found in the STAC for each dataset. ","Chaque notebook de l’Atlas inclut une section Methods & Sources contenant des liens vers les dépôts GitHub correspondants, où se trouvent les scripts de traitement, le code des modèles et les flux de travail reproductibles. Vous pouvez également consulter Data Sources dans l’Appendix. Ces liens se trouvent généralement en bas du notebook ou dans des cellules de code faisant référence au traitement externe. Les méthodes et autres informations sont aussi disponibles dans le STAC pour chaque jeu de données."
"Spatial boundaries, mapping & exports","Limites spatiales, cartographie & exports",How can I use my own shapefiles (administrative boundaries) with Atlas analyses and maps? ,Comment puis-je utiliser mes propres shapefiles (limites administratives) avec les analyses et cartes de l’Atlas ?,"To use your own boundaries, fork the relevant Atlas notebook in Observable and upload your shapefile (or GeoJSON/TopoJSON) using the file attachment tool. After importing it, you can replace the default boundary layer in the map component or use your shapefile for spatial joins, masking, or country-specific summaries. However, unless the region names match exactly, you will have to re-extract the data from the raw rasters to continue working. ","Pour utiliser vos propres limites, forkez le notebook correspondant dans Observable et importez votre shapefile (ou GeoJSON/TopoJSON) via l’outil de pièces jointes. Après l’importation, vous pouvez remplacer la couche de limites par défaut dans la carte ou utiliser votre shapefile pour des jointures spatiales, du masquage ou des résumés spécifiques au pays. Toutefois, si les noms de régions ne correspondent pas exactement, vous devrez réextraire les données depuis les rasters bruts pour poursuivre votre travail."
