"Ranking","Country","iso3","Climate.hazard.indicator","Climate.hazard.indicator..standardized.","Exposure.indicator","Exposure.indicator..standardized.","Social.Institutions.and.Gender","Social.Institutions.and.Gender..standardized.","Risk.index..avg.standardized.vars.","PCA.based.risk.index","Anderson.method.risk.index"
1,"Yemen","YEM",0.707,0.93,0.615,1.17,0.563,2.453,1.518,1.939,1.398
2,"Bangladesh","BGD",0.909,1.734,0.656,1.469,0.39,1.21,1.471,1.026,1.516
3,"Somalia","SOM",0.781,1.224,0.514,0.451,0.459,1.708,1.127,0.875,1.108
4,"Pakistan","PAK",0.749,1.097,0.687,1.687,0.301,0.575,1.12,1.029,1.146
5,"Sudan","SDN",0.422,-0.208,0.607,1.112,0.555,2.393,1.099,2.328,0.875
6,"Gambia","GMB",0.441,-0.134,0.594,1.025,0.524,2.171,1.021,2.1,0.822
7,"Afghanistan","AFG",0.676,0.806,0.64,1.349,0.322,0.726,0.96,1.02,0.954
8,"Nepal","NPL",0.744,1.075,0.587,0.972,0.323,0.73,0.926,0.663,0.954
9,"Syrian Arab Republic","SYR",0.805,1.321,0.391,-0.436,0.416,1.398,0.761,0.054,0.794
10,"Lebanon","LBN",0.924,1.794,0.444,-0.053,0.29,0.492,0.744,-0.458,0.883
11,"Chad","TCD",0.482,0.032,0.49,0.274,0.467,1.759,0.688,1.277,0.553
12,"India","IND",0.679,0.819,0.58,0.924,0.265,0.315,0.686,0.474,0.721
13,"Zambia","ZMB",0.381,-0.373,0.548,0.693,0.449,1.633,0.651,1.639,0.477
14,"Sri Lanka","LKA",0.845,1.482,0.539,0.628,0.189,-0.227,0.627,-0.333,0.775
15,"Egypt","EGY",0.462,-0.047,0.509,0.412,0.428,1.483,0.616,1.226,0.491
16,"Morocco","MAR",0.769,1.178,0.656,1.465,0.105,-0.831,0.604,-0.037,0.749
17,"Gabon","GAB",0.084,-1.558,0.686,1.679,0.402,1.298,0.473,2.563,0.187
18,"Mali","MLI",0.192,-1.127,0.501,0.355,0.516,2.116,0.448,2.028,0.172
19,"Uzbekistan","UZB",0.911,1.744,0.468,0.118,0.148,-0.527,0.445,-0.966,0.651
20,"Swaziland","SWZ",0.855,1.521,0.42,-0.228,0.212,-0.066,0.409,-0.812,0.567
21,"Iraq","IRQ",0.71,0.942,0.446,-0.036,0.263,0.301,0.402,-0.219,0.472
22,"Niger","NER",0.32,-0.615,0.482,0.215,0.442,1.58,0.393,1.389,0.21
23,"Tajikistan","TJK",0.562,0.35,0.629,1.276,0.139,-0.586,0.347,0.331,0.396
24,"Uganda","UGA",0.573,0.396,0.532,0.574,0.216,-0.034,0.312,0.196,0.34
25,"DR Congo","COD",0.151,-1.292,0.555,0.739,0.428,1.48,0.309,1.948,0.056
26,"Mongolia","MNG",1,2.099,0.464,0.088,0.035,-1.337,0.283,-1.641,0.586
27,"Myanmar","MMR",0.531,0.227,0.444,-0.056,0.294,0.519,0.23,0.197,0.214
28,"Mozambique","MOZ",0.527,0.21,0.571,0.861,0.138,-0.599,0.157,0.105,0.204
29,"Nigeria","NGA",0.472,-0.008,0.346,-0.755,0.391,1.218,0.152,0.273,0.076
30,"Kenya","KEN",0.41,-0.256,0.545,0.67,0.216,-0.039,0.125,0.523,0.088
31,"Cameroon","CMR",0.265,-0.836,0.545,0.672,0.28,0.424,0.087,1.052,-0.041
